,State_ab,City,Zip_Code,Area_Code,Lat,Lon,Mean,Median,Stdev,Households,Mean-Binned,Median-Binned,MeanLow,MeanMedium,MeanHigh,MedianLow,MedianMedium,MedianHigh
4177,IL,Grand Chain,62941,618,37.182358,-89.083976,-0.6663888118898932,-0.4776439322996064,65040.6050178992+0i,160,MeanMedium,MedianMedium,0,1,0,0,1,0
4178,IL,Olympia Fields,60461,708,41.521996,-87.691648,1.6621571692290535,0.6954422327845677,178674.107257702+0i,2034,MeanMedium,MedianMedium,0,1,0,0,1,0
4179,IL,Onarga,60955,815,40.715656,-88.006408,-0.330250198296868,-0.4274743189944527,81400.5545698641+0i,479,MeanMedium,MedianMedium,0,1,0,0,1,0
4180,IL,Opdyke,62872,618,38.258245,-88.789815,-0.6014295361516393,2.2807398451811984,62036.6366141835+0i,99,MeanMedium,MedianHigh,0,1,0,0,0,1
4181,IL,Orangeville,61060,815,42.466428,-89.646175,-0.6272228584258435,-0.6281776394335583,66089.5178254935+0i,388,MeanMedium,MedianLow,0,1,0,1,0,0
4182,IL,Oregon,61061,815,42.012703,-89.335773,-0.10176794518941709,-0.4519187947708919,104233.35733785+0i,1684,MeanMedium,MedianMedium,0,1,0,0,1,0
4183,IL,Orion,61273,309,41.351421,-90.376517,-0.0669982063860632,-0.12208000870915268,65750.9121758134+0i,839,MeanMedium,MedianMedium,0,1,0,0,1,0
4184,IL,Orland Park,60462,708,41.608145,-87.85929,1.5006726289525738,0.5149808281969591,170299.797775316+0i,21905,MeanMedium,MedianMedium,0,1,0,0,1,0
4185,IL,Oswego,60543,630,41.68322,-88.338849,1.2100892217760646,0.21162562982790323,154765.509064514+0i,10271,MeanMedium,MedianMedium,0,1,0,0,1,0
4186,IL,Grafton,62037,618,39.050787,-90.398445,-0.819445175068251,-0.6541265819286899,61090.7856116612+0i,49,MeanLow,MedianLow,1,0,0,1,0,0
4187,IL,Smithton,62285,618,38.359429999999996,-90.046929,-0.17569983264612166,2.2807398451811984,74858.4042866932+0i,11,MeanMedium,MedianHigh,0,1,0,0,0,1
4188,IL,Palestine,62451,618,39.001641,-87.612629,-0.20670439303407204,-0.5788908123848274,105989.763328118+0i,625,MeanMedium,MedianLow,0,1,0,1,0,0
4189,IL,Palmyra,62674,217,39.434497,-89.995913,-0.8720412521644444,-0.7339006188471202,54868.7518172378+0i,275,MeanLow,MedianLow,1,0,0,1,0,0
4190,IL,Palos Hills,60465,708,41.700681,-87.82529699999999,0.4844220553297727,-0.17982169004474968,127040.918976766+0i,6896,MeanMedium,MedianMedium,0,1,0,0,1,0
4191,IL,Pana,62557,217,39.394604,-89.090809,-0.5839617955367994,-0.700939120737588,81075.7903836782+0i,2634,MeanMedium,MedianLow,0,1,0,1,0,0
4192,IL,Sorento,62086,217,39.029261,-89.52441,-0.6184954009622137,2.2807398451811984,59314.4479279253+0i,42,MeanMedium,MedianHigh,0,1,0,0,0,1
4193,IL,El Paso,61738,309,40.782847,-89.020252,0.9969493488840504,2.2807398451811984,153462.746503639+0i,18,MeanMedium,MedianHigh,0,1,0,0,0,1
4194,IL,Paris,61944,217,39.615027000000005,-87.68903,-0.035290030608000546,-0.46523519027270593,108144.863107016+0i,3764,MeanMedium,MedianMedium,0,1,0,0,1,0
4195,IL,West Salem,62476,618,38.589126,-88.056836,0.09366657174193548,-0.3990759554779791,109979.624696504+0i,61,MeanMedium,MedianMedium,0,1,0,0,1,0
4196,IL,Park Forest,60466,708,41.481747999999996,-87.686797,0.4885151025581247,-0.3442686059242944,133046.558155015+0i,1268,MeanMedium,MedianMedium,0,1,0,0,1,0
4197,IL,Patoka,62875,618,38.753989000000004,-89.095798,-0.03829073370842706,-0.42422914698140557,102894.941955096+0i,192,MeanMedium,MedianMedium,0,1,0,0,1,0
4198,IL,Paw Paw,61353,815,41.687519,-88.98086500000001,-0.2582992263544836,-0.4791732662367895,90934.575465825+0i,363,MeanMedium,MedianMedium,0,1,0,0,1,0
4199,IL,Payson,62360,217,39.817058,-91.24439,-0.39514117150633327,-0.416520309249263,75661.9819758115+0i,447,MeanMedium,MedianMedium,0,1,0,0,1,0
4200,IL,Pearl City,61062,815,42.266179,-89.827185,-0.3898445172373189,-0.404285637751798,54905.8771602094+0i,346,MeanMedium,MedianMedium,0,1,0,0,1,0
4201,IL,Pekin,61554,309,40.567527,-89.6249,-2.151236272524662,-1.4493429284361785,0+0i,0,,,0,0,0,0,0,0
4202,IL,Armstrong,61812,217,40.3047,-87.944307,-0.20427200458141231,-0.46481244755836265,86596.8130702012+0i,73,MeanMedium,MedianMedium,0,1,0,0,1,0
4203,IL,Peoria Heights,61616,309,40.746696,-89.570031,0.3387911163557939,-0.3223481528246696,124727.775604602+0i,2816,MeanMedium,MedianMedium,0,1,0,0,1,0
4204,IL,Peotone,60468,708,41.331512,-87.79298,0.6765236919620019,-0.060023864965404926,130847.894096421+0i,1424,MeanMedium,MedianMedium,0,1,0,0,1,0
4205,IL,Perry,62362,217,39.782276,-90.747028,-0.4725874654692767,-0.561844334109396,86099.7845406341+0i,182,MeanMedium,MedianLow,0,1,0,1,0,0
4206,IL,Tolono,61880,217,39.911235999999995,-88.276881,0.12737652933326268,-0.4083514279750409,112864.671307183+0i,228,MeanMedium,MedianMedium,0,1,0,0,1,0
4207,IL,Grayville,62844,618,38.142851,-88.018118,-0.7692122232425934,2.2807398451811984,62306.0571729839+0i,17,MeanLow,MedianHigh,1,0,0,0,0,1
4208,IL,Phoenix,60426,708,41.611781,-87.630852,-0.5352411696429342,-0.6170246919404424,83434.7362657231+0i,784,MeanMedium,MedianLow,0,1,0,1,0,0
4209,IL,Highland,62249,618,38.772976,-89.598228,-1.9695009755106012,-1.3673805762905593,8236.76194704163+0i,6,MeanLow,MedianLow,1,0,0,1,0,0
4210,IL,Pingree Grove,60140,847,42.085774,-88.436254,0.9688457068437679,-0.008424386597031213,145295.818443024+0i,1681,MeanMedium,MedianMedium,0,1,0,0,1,0
